steps,time,reward,delta,converged
1,0.02080512046813965,1.271655023216899,0.11208172653275922,False
2,0.018725872039794922,2.073215680758805,1.948076299965827e-05,False
3,0.022309064865112305,2.0732783578248455,5.927058653261202e-06,True
