steps,time,reward,delta,converged
1,0.35547494888305664,2.066423210556835,0.1287955675577402,False
2,0.37589192390441895,5.562979037322058,0.0028316800531068415,False
3,0.19532275199890137,5.591534387243111,8.511855485352697e-06,False
4,0.21422386169433594,5.591597611301502,8.511855485352697e-06,False
5,0.39444804191589355,5.5916047991318685,8.511855485352697e-06,False
6,0.35648632049560547,5.591605169481164,8.511855485352697e-06,False
7,0.23295879364013672,5.5916051737344725,8.511855485352697e-06,True
