steps,time,reward,delta,converged
1,0.0001938343048095703,0.0,0,False
2,0.0008997917175292969,0.0,0,False
3,0.0024192333221435547,0.0,0,False
4,0.01090693473815918,0.0,0,False
5,0.0015969276428222656,0.0,0,False
6,0.001741170883178711,0.0,0,False
7,0.0038967132568359375,0.0,0,False
8,0.004282712936401367,0.0,0,False
9,0.002231121063232422,0.0,0,False
10,0.0012607574462890625,0.0,0,False
11,0.0013248920440673828,0.0,0,False
12,0.004249095916748047,0.0,0,False
13,0.002652883529663086,0.0,0,False
14,0.008230924606323242,0.0,0,False
15,0.0013189315795898438,0.0,0,False
16,0.0019979476928710938,0.0,0,False
17,0.0018749237060546875,0.0,0,False
18,0.004264354705810547,0.0,0,False
19,0.0017521381378173828,0.0,0,False
20,0.002380847930908203,0.0,0,False
21,0.0020411014556884766,0.0,0,False
22,0.002046346664428711,0.0,0,False
23,0.006244659423828125,0.0,0,False
24,0.0051860809326171875,0.0,0,False
25,0.0007150173187255859,0.0,0,False
26,0.0018742084503173828,0.0,0,False
27,0.0005948543548583984,0.0,0,False
28,0.0028908252716064453,0.0,0,False
29,0.0037789344787597656,0.0,0,False
30,0.0021810531616210938,0.0,0,False
31,0.000885009765625,0.0,0,False
32,0.0007841587066650391,0.0,0,False
33,0.0013141632080078125,0.0,0,False
34,0.0019998550415039062,0.0,0,False
35,0.004796028137207031,0.0,0,False
36,0.0008311271667480469,0.0,0,False
37,0.005403280258178711,0.0,0,False
38,0.004826784133911133,0.0,0,False
39,0.006067037582397461,0.0,0,False
40,0.004113197326660156,0.0,0,False
41,0.0017118453979492188,0.0,0,False
42,0.001583099365234375,0.0,0,False
43,0.0029408931732177734,0.0,0,False
44,0.0024220943450927734,0.0,0,False
45,0.000560760498046875,0.0,0,False
46,0.00640106201171875,0.0,0,False
47,0.0032739639282226562,0.0,0,False
48,0.007742881774902344,0.0,0,False
49,0.00459599494934082,0.0,0,False
50,0.0010380744934082031,0.0,0,False
51,0.007266044616699219,0.0,0,False
