steps,time,reward,delta,converged
1,0.0009829998016357422,0.0,0.0006226099075106793,False
2,0.0001220703125,0.0,0.0006226099075106793,False
3,0.0005779266357421875,0.0,0.0006277936292914633,False
4,0.0004298686981201172,0.0,0.0006277936292914633,False
5,0.0010311603546142578,0.0,0.0006277936292914633,False
6,0.000244140625,0.0,0.0006277936292914633,False
7,0.0004601478576660156,0.0,0.0006277936292914633,False
8,0.0005507469177246094,0.0,0.0006277936292914633,False
9,0.0003750324249267578,0.0,0.0006277936292914633,False
10,0.00019097328186035156,0.0,0.0006277936292914633,False
11,0.00011897087097167969,0.0,0.0006277936292914633,False
12,0.0006229877471923828,0.0,0.0006277936292914633,False
13,0.00013399124145507812,0.0,0.0006277936292914633,False
14,0.0005729198455810547,0.0,0.0006277936292914633,False
15,0.0007321834564208984,0.0,0.0006277936292914633,False
16,0.00028014183044433594,0.0,0.0006277936292914633,False
17,0.0004971027374267578,0.0,0.0006277936292914633,False
18,0.00011610984802246094,0.0,0.0006277936292914633,False
19,0.0013458728790283203,0.0,0.0006277936292914633,False
20,0.00015211105346679688,0.0,0.0006277936292914633,False
21,0.0005128383636474609,0.0,0.0006277936292914633,False
22,0.0006210803985595703,0.0,0.0006277936292914633,False
23,0.0005121231079101562,0.0,0.0006277936292914633,False
24,0.0003299713134765625,0.0,0.0006277936292914633,False
25,0.0002942085266113281,0.0,0.0006277936292914633,False
26,0.0008709430694580078,0.0,0.0006277936292914633,False
27,0.000530242919921875,0.0,0.0006277936292914633,False
28,0.0008237361907958984,0.0,0.0006277936292914633,False
29,0.0007121562957763672,0.0,0.0006277936292914633,False
30,0.0006260871887207031,0.0,0.0006277936292914633,False
31,0.0004069805145263672,0.0,0.0006277936292914633,False
32,0.0006971359252929688,0.0,0.0006277936292914633,False
33,0.00049591064453125,0.0,0.0006277936292914633,False
34,0.00016999244689941406,0.0,0.0006277936292914633,False
35,0.0005359649658203125,0.0,0.0006277936292914633,False
36,0.0006051063537597656,0.0,0.0006277936292914633,False
37,0.0015079975128173828,0.0,0.0006277936292914633,False
38,0.0001690387725830078,0.0,0.0006277936292914633,False
39,0.00034999847412109375,0.0,0.0006277936292914633,False
40,0.000370025634765625,0.0,0.0006277936292914633,False
41,0.00040602684020996094,0.0,0.0006277936292914633,False
42,0.00016999244689941406,0.0,0.0006277936292914633,False
43,0.0007138252258300781,0.0,0.0006277936292914633,False
44,0.0005321502685546875,0.0,0.0006277936292914633,False
45,0.0002048015594482422,0.0,0.0006277936292914633,False
46,0.0005502700805664062,0.0,0.0006277936292914633,False
47,0.000186920166015625,0.0,0.0006277936292914633,False
48,0.00018906593322753906,0.0,0.0006277936292914633,False
49,0.0001900196075439453,0.0,0.0006277936292914633,False
50,0.00015211105346679688,0.0,0.0006277936292914633,False
51,0.0011980533599853516,0.0,0.0006277936292914633,False
52,0.0006051063537597656,0.0,0.0006277936292914633,False
53,0.00029730796813964844,0.0,0.0006277936292914633,False
54,0.0003509521484375,0.0,0.0006277936292914633,False
55,0.0004239082336425781,0.0,0.0006277936292914633,False
56,0.0003871917724609375,0.0,0.0006277936292914633,False
57,0.0001499652862548828,0.0,0.0006277936292914633,False
58,0.0003666877746582031,0.0,0.0006277936292914633,False
59,0.0009090900421142578,0.0,0.0006277936292914633,False
60,0.0002968311309814453,0.0,0.0006277936292914633,False
61,0.0003161430358886719,0.0,0.0006277936292914633,False
62,0.0014050006866455078,0.0,0.0006277936292914633,False
63,0.00016999244689941406,0.0,0.0006277936292914633,False
64,0.00036978721618652344,0.0,0.0006277936292914633,False
65,0.00016999244689941406,0.0,0.0006277936292914633,False
66,0.0011310577392578125,0.0,0.0006277936292914633,False
67,0.0001327991485595703,0.0,0.0006277936292914633,False
68,0.00014972686767578125,0.0,0.0006277936292914633,False
69,0.00038313865661621094,0.0,0.0006277936292914633,False
70,0.0003311634063720703,0.0,0.0006277936292914633,False
71,0.00013184547424316406,0.0,0.0006277936292914633,False
72,0.0016260147094726562,0.0,0.0006277936292914633,False
73,9.703636169433594e-05,0.0,0.0006277936292914633,False
74,0.00036716461181640625,0.0,0.0006277936292914633,False
75,0.0002219676971435547,0.0,0.0006277936292914633,False
76,0.0003857612609863281,0.0,0.0006277936292914633,False
77,0.0008130073547363281,0.0,0.0006277936292914633,False
78,0.0008180141448974609,0.0,0.0006277936292914633,False
79,0.00018906593322753906,0.0,0.0006277936292914633,False
80,0.00036978721618652344,0.0,0.0006277936292914633,False
81,0.00031375885009765625,0.0,0.0006277936292914633,False
82,0.0004620552062988281,0.0,0.0006277936292914633,False
83,0.00018715858459472656,0.0,0.0006277936292914633,False
84,0.0002949237823486328,0.0,0.0006277936292914633,False
85,0.00043892860412597656,0.0,0.0006277936292914633,False
86,0.00013327598571777344,0.0,0.0006277936292914633,False
87,0.00015020370483398438,0.0,0.0006277936292914633,False
88,0.0002410411834716797,0.0,0.0006277936292914633,False
89,0.0005650520324707031,0.0,0.0006277936292914633,False
90,0.0004029273986816406,0.0,0.0006277936292914633,False
91,0.0008389949798583984,0.0,0.0006277936292914633,False
92,0.00036907196044921875,0.0,0.0006277936292914633,False
93,0.00020503997802734375,0.0,0.0006277936292914633,False
94,0.00146484375,0.0,0.0006277936292914633,False
95,0.0003509521484375,0.0,0.0006277936292914633,False
96,0.0004589557647705078,0.0,0.0006277936292914633,False
97,0.00020503997802734375,0.0,0.0006277936292914633,False
98,0.0005118846893310547,0.0,0.0006277936292914633,False
99,0.00038909912109375,0.0,0.0006277936292914633,False
100,0.0008380413055419922,0.0,0.0006277936292914633,False
101,0.00031304359436035156,0.0,0.0006277936292914633,False
102,0.0004961490631103516,0.0,0.0006277936292914633,False
103,0.0002961158752441406,0.0,0.0006277936292914633,False
104,0.00045800209045410156,0.0,0.0006277936292914633,False
105,0.0006229877471923828,0.0,0.0006277936292914633,False
106,0.00020384788513183594,0.0,0.0006277936292914633,False
107,0.00045609474182128906,0.0,0.0006277936292914633,False
108,0.0006017684936523438,0.0,0.0006277936292914633,False
109,0.00061798095703125,0.0,0.0006277936292914633,False
110,0.0007989406585693359,0.0,0.0006277936292914633,False
111,0.00038504600524902344,0.0,0.0006277936292914633,False
112,0.0002951622009277344,0.0,0.0006277936292914633,False
113,0.000186920166015625,0.0,0.0006277936292914633,False
114,0.0005679130554199219,0.0,0.0006277936292914633,False
115,0.0007622241973876953,0.0,0.0006277936292914633,False
116,0.0003669261932373047,0.0,0.0006277936292914633,False
117,0.0002942085266113281,0.0,0.0006277936292914633,False
118,0.00024175643920898438,0.0,0.0006277936292914633,False
119,0.0003337860107421875,0.0,0.0006277936292914633,False
120,0.0002620220184326172,0.0,0.0006277936292914633,False
121,0.00011706352233886719,0.0,0.0006277936292914633,False
122,0.0004558563232421875,0.0,0.0006277936292914633,False
123,0.00017714500427246094,0.0,0.0006277936292914633,False
124,0.00017690658569335938,0.0,0.0006277936292914633,False
125,0.0012009143829345703,0.0,0.0006277936292914633,False
126,0.00015997886657714844,0.0,0.0006277936292914633,False
127,0.00038123130798339844,0.0,0.0006277936292914633,False
128,0.0003991127014160156,0.0,0.0006277936292914633,False
129,0.0002970695495605469,0.0,0.0006277936292914633,False
130,0.000263214111328125,0.0,0.0006277936292914633,False
131,0.0004837512969970703,0.0,0.0006277936292914633,False
132,9.107589721679688e-05,0.0,0.0006277936292914633,False
133,0.00027823448181152344,0.0,0.0006277936292914633,False
134,0.0005040168762207031,0.0,0.0006277936292914633,False
135,0.00044989585876464844,0.0,0.0006277936292914633,False
