step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.011494252873563218,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.011494252873563218,0.0
2,0.006711409395973154,0.006068554089845458,0.006711409395973154,0.004714474837407059,0.011494252873563218,0.0
3,0.011904761904761904,0.007527606043574569,0.009102831134768187,0.004801687469572593,0.011904761904761904,0.0
4,0.0,0.006022084834859656,0.006711409395973154,0.005245125211462737,0.011904761904761904,0.0
5,0.0,0.005018404029049713,0.003355704697986577,0.005288004463219073,0.011904761904761904,0.0
6,0.0,0.004301489167756896,0.0,0.0052011613783919716,0.011904761904761904,0.0
7,0.012345679012345678,0.005307012898330495,0.003355704697986577,0.0055450983339155714,0.012345679012345678,0.0
8,0.027777777777777776,0.007803764551602415,0.006711409395973154,0.008786455986135725,0.027777777777777776,0.0
9,0.006535947712418301,0.007676982867684004,0.0066236785541957275,0.00834423694983939,0.027777777777777776,0.0
10,0.014285714285714285,0.008277776632959484,0.006711409395973154,0.008179618512297822,0.027777777777777776,0.0
11,0.0,0.007587961913546194,0.0066236785541957275,0.008158733576632857,0.027777777777777776,0.0
12,0.011627906976744186,0.007898726918407577,0.006711409395973154,0.00791223437011982,0.027777777777777776,0.0
13,0.008403361344537815,0.007934772234559738,0.007557385370255484,0.0076255273899897506,0.027777777777777776,0.0
14,0.020833333333333332,0.00879467630781131,0.008403361344537815,0.008038916613771827,0.027777777777777776,0.0
15,0.016666666666666666,0.00928667570523977,0.009948807109050516,0.008013496125850918,0.027777777777777776,0.0
16,0.017857142857142856,0.009790820831822304,0.011494252873563218,0.008031519050880375,0.027777777777777776,0.0
17,0.010752688172043012,0.00984425790627901,0.011123470522803115,0.0078083426179334035,0.027777777777777776,0.0
18,0.0,0.009326139069106431,0.010752688172043012,0.00791159302000199,0.027777777777777776,0.0
19,0.02631578947368421,0.01017562158933532,0.011123470522803115,0.008554205363430963,0.027777777777777776,0.0
20,0.0,0.009691068180319352,0.010752688172043012,0.00862471871341017,0.027777777777777776,0.0
21,0.030303030303030304,0.010627975549533486,0.011123470522803115,0.009457182729486476,0.030303030303030304,0.0
22,0.0,0.010165889656075509,0.010752688172043012,0.00949985249459802,0.030303030303030304,0.0
23,0.015384615384615385,0.010383336561431337,0.011123470522803115,0.009358120010428373,0.030303030303030304,0.0
24,0.005,0.010168003098974083,0.010752688172043012,0.009229532909399511,0.030303030303030304,0.0
25,0.006802721088435374,0.010038569175491825,0.009578024758290414,0.009073411038045391,0.030303030303030304,0.0
