steps,time,reward,delta,converged
1,0.007192850112915039,0.6666666666666666,0.3333333333333333,False
2,0.0067861080169677734,1.2866666666666666,0.19999999999999998,False
3,0.007138967514038086,1.8644666666666665,0.12299999999999997,False
4,0.007311820983886719,2.3568566666666664,0.08072999999999997,False
5,0.006275177001953125,2.781427886666666,0.059588999999999975,False
6,0.012041091918945312,3.149568172466666,0.04469822999999998,False
7,0.006802082061767578,3.4690578676106654,0.03489970859999997,False
8,0.007132291793823242,3.746850334468946,0.026345637179999992,False
9,0.006723165512084961,3.9889305971124474,0.021548948181299987,False
10,0.007794857025146484,4.200402613109285,0.017173783938411014,False
11,0.012205839157104492,4.385461107871551,0.013422591289242905,False
12,0.010421037673950195,4.547434120211877,0.011165773086565814,False
13,0.011655092239379883,4.689065206822849,0.00904400079726285,False
14,0.009093999862670898,4.812706514412149,0.007239984395702552,False
15,0.0065190792083740234,4.920424554976443,0.006050805626070299,False
16,0.006134986877441406,5.014060406387363,0.0049598687322428,False
17,0.010503053665161133,5.095268347389079,0.004020882776720552,False
18,0.009025096893310547,5.165541209527618,0.0033764631365434256,False
19,0.006484270095825195,5.226226429634406,0.0027925028856481127,False
20,0.007451057434082031,5.278536396233132,0.002282358603266116,False
21,0.011285781860351562,5.323556166955281,0.0019226285178224264,False
22,0.011708974838256836,5.362250806236894,0.0016010293432501058,False
23,0.011626958847045898,5.395473414204883,0.0013197679707435683,False
24,0.013930082321166992,5.423973363031319,0.0011109264698816908,False
25,0.012379169464111328,5.448405560244716,0.0009300981759045868,False
26,0.015051126480102539,5.469339735198594,0.0007718082865384203,False
27,0.010485172271728516,5.487269634196546,0.0006490160803409376,False
28,0.009715795516967773,5.502621803962515,0.0005457361285961526,False
29,0.00950312614440918,5.515763790651332,0.0004552666620798486,False
30,0.008752107620239258,5.527011657042939,0.0003824149365091855,False
31,0.009646892547607422,5.536636773753732,0.0003227072859113729,False
32,0.009335041046142578,5.54487187918886,0.00027037874330787526,False
33,0.010115861892700195,5.551916436550123,0.00022686587992725663,False
34,0.008716821670532227,5.557941324300928,0.00019201508642199133,False
35,0.010240793228149414,5.563092913296323,0.0001614599995635839,False
36,0.011109113693237305,5.567496588841998,0.0001353391543568276,False
37,0.01115274429321289,5.571259778225684,0.00011483930585647235,False
38,0.010909795761108398,5.5744749756538345,9.686144524213847e-05,False
39,0.01793694496154785,5.577221232241661,8.12619801951707e-05,False
40,0.012598037719726562,5.579566215753623,6.899453022631875e-05,False
41,0.012391090393066406,5.581567941223791,5.8350746944608144e-05,False
42,0.007192134857177734,5.5832760804234915,4.910359032534546e-05,False
43,0.009347915649414062,5.58473323211337,4.165559780410898e-05,False
44,0.008311033248901367,5.585975875733894,3.531940178806356e-05,False
45,0.009427070617675781,5.587035330774618,2.9808024408235073e-05,False
46,0.00992584228515625,5.5879383149194215,2.5343308380512252e-05,False
47,0.009376049041748047,5.588707705766459,2.1545822558869093e-05,False
48,0.009117841720581055,5.589363071589436,1.838270520489074e-05,False
49,0.008642911911010742,5.58992113403043,1.6375967264257085e-05,False
50,0.00976109504699707,5.590396225817786,1.4527099503003783e-05,False
51,0.008484840393066406,5.590800570739472,1.282138784634867e-05,False
52,0.006139039993286133,5.591144598713154,1.124630113774833e-05,False
53,0.005966901779174805,5.591437220491977,9.808560595300688e-06,True
